"data_deteccao","longitude","latitude","data_quebra","magnitude","r2_historico","n_obs"
"2026-09-04",-44.7869008784691,-20.9671728047559,"2026-09-02",0.070201,0.232,329
"2026-09-04",-44.7869008784691,-20.966543984057,"2026-01-14",0.047236,0.3155,323
"2026-09-04",-44.7869008784691,-20.9661846579434,"2026-01-14",0.155341,0.2176,321
"2026-09-04",-44.7868110469407,-20.9698677506083,"2026-01-14",0.099578,0.4206,332
"2026-09-04",-44.7868110469407,-20.969149098381,"2026-08-17",0.064643,0.3667,321
"2026-09-04",-44.7868110469407,-20.9678016254548,"2026-08-02",0.06417,0.3155,326
"2026-09-04",-44.7868110469407,-20.9677117939264,"2026-09-02",0.061958,0.2834,329
"2026-09-04",-44.7868110469407,-20.9662744894718,"2026-01-14",0.165077,0.1861,321
"2026-09-04",-44.7868110469407,-20.9661846579434,"2026-01-14",0.197724,0.2097,320
"2026-09-04",-44.7868110469407,-20.966094826415,"2026-01-14",0.197724,0.2097,320
"2026-09-04",-44.7867212154123,-20.9699575821367,"2026-08-17",0.067442,0.459,331
"2026-09-04",-44.7867212154123,-20.9698677506083,"2026-07-29",0.078599,0.4247,330
"2026-09-04",-44.7867212154123,-20.9689694353241,"2026-09-03",0.068812,0.4023,319
"2026-09-04",-44.7867212154123,-20.9687897722673,"2026-01-14",-0.029088,0.3846,319
"2026-09-04",-44.7867212154123,-20.9686999407389,"2026-01-14",-0.027512,0.3615,318
"2026-09-04",-44.7867212154123,-20.9683406146253,"2026-01-14",-0.020709,0.2439,321
"2026-09-04",-44.7867212154123,-20.9682507830968,"2026-01-09",-0.003888,0.2366,324
"2026-09-04",-44.7867212154123,-20.9681609515684,"2026-01-09",-0.003857,0.2602,324
"2026-09-04",-44.7867212154123,-20.96807112004,"2026-01-09",0.011073,0.2789,323
"2026-09-04",-44.7867212154123,-20.9679812885116,"2026-01-09",-5.6e-05,0.2859,324
"2026-09-04",-44.7867212154123,-20.9678016254548,"2026-08-28",0.050949,0.3179,328
"2026-09-04",-44.7867212154123,-20.9667236471138,"2026-01-14",0.062291,0.2757,328
"2026-09-04",-44.7867212154123,-20.9666338155854,"2026-01-14",0.081652,0.2965,329
"2026-09-04",-44.7867212154123,-20.9662744894718,"2026-01-14",0.118335,0.1812,323
"2026-09-04",-44.7867212154123,-20.9661846579434,"2026-01-14",0.202125,0.2203,321
"2026-09-04",-44.7867212154123,-20.966094826415,"2026-01-14",0.202125,0.2203,321
"2026-09-04",-44.7866313838839,-20.9699575821367,"2026-08-17",0.067442,0.459,331
"2026-09-04",-44.7866313838839,-20.9698677506083,"2026-07-29",0.078599,0.4247,330
"2026-09-04",-44.7866313838839,-20.9689694353241,"2026-09-03",0.068812,0.4023,319
"2026-09-04",-44.7866313838839,-20.9687897722673,"2026-01-14",-0.029088,0.3846,319
"2026-09-04",-44.7866313838839,-20.9686999407389,"2026-01-14",-0.027512,0.3615,318
"2026-09-04",-44.7866313838839,-20.9683406146253,"2026-01-14",-0.020709,0.2439,321
"2026-09-04",-44.7866313838839,-20.9682507830968,"2026-01-09",-0.003888,0.2366,324
"2026-09-04",-44.7866313838839,-20.9681609515684,"2026-01-09",-0.003857,0.2602,324
"2026-09-04",-44.7866313838839,-20.96807112004,"2026-01-09",0.011073,0.2789,323
"2026-09-04",-44.7866313838839,-20.9679812885116,"2026-01-09",-5.6e-05,0.2859,324
