"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7778278940995,-20.9686101092105,583,2019-01-02,2021-05-31,177,0.2364,0.3142,2024-06-29,-0.275769,-0.132523,NA
-44.7779177256279,-20.9669931416991,583,2019-01-02,2021-05-31,177,0.2226,0.3128,NA,NA,0.064864,NA
-44.7779177256279,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2317,0.3204,NA,NA,0.069403,NA
-44.7779177256279,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2342,0.3258,NA,NA,0.088142,NA
-44.7779177256279,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2336,0.3228,NA,NA,0.102025,NA
-44.7779177256279,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2358,0.3151,NA,NA,0.045917,NA
-44.7779177256279,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.242,0.3167,2024-09-02,-0.280224,-0.085679,NA
-44.7779177256279,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2536,0.3205,2024-07-29,-0.263692,-0.141295,NA
-44.7779177256279,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2579,0.3199,2024-07-29,-0.255698,-0.133558,NA
-44.7779177256279,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2652,0.315,2024-07-14,-0.235127,-0.14418,NA
-44.7779177256279,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2797,0.3106,2024-07-14,-0.26057,-0.153531,NA
-44.7779177256279,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2835,0.3084,2024-07-14,-0.269237,-0.162176,NA
-44.7779177256279,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.2782,0.3071,2024-07-14,-0.270873,-0.14478,NA
-44.7779177256279,-20.96807112004,583,2019-01-02,2021-05-31,177,0.2782,0.3071,2024-07-14,-0.270873,-0.14478,NA
-44.7779177256279,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2786,0.3104,2024-07-14,-0.266689,-0.14333,NA
-44.7779177256279,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2779,0.3119,2024-07-14,-0.275392,-0.145102,NA
-44.7779177256279,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2734,0.3078,2024-07-04,-0.263602,-0.140925,NA
-44.7779177256279,-20.9684304461537,583,2019-01-02,2021-05-31,177,0.2646,0.3094,2024-06-19,-0.271595,-0.14993,NA
-44.7779177256279,-20.9685202776821,583,2019-01-02,2021-05-31,177,0.2459,0.3111,2024-06-24,-0.280481,-0.141228,NA
-44.7779177256279,-20.9686101092105,583,2019-01-02,2021-05-31,177,0.2287,0.3139,2024-07-09,-0.228256,-0.131782,NA
-44.7779177256279,-20.9686999407389,583,2019-01-02,2021-05-31,177,0.2047,0.3069,2024-08-28,-0.19167,-0.093418,NA
-44.7780075571563,-20.9669931416991,583,2019-01-02,2021-05-31,177,0.2301,0.3173,NA,NA,0.07602,NA
-44.7780075571563,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2355,0.3223,NA,NA,0.076123,NA
-44.7780075571563,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2372,0.3237,NA,NA,0.097183,NA
-44.7780075571563,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2361,0.3171,NA,NA,0.098312,NA
