"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7778278940995,-20.9684304461537,323,2019-01-07,2021-05-26,88,0.5913,0.103,2023-09-18,-0.051982,-0.217024,NA
-44.7778278940995,-20.9685202776821,326,2019-01-07,2021-05-26,88,0.5295,0.1049,2023-08-24,-0.045817,-0.241756,NA
-44.7778278940995,-20.9686101092105,325,2019-01-07,2021-05-26,87,0.5584,0.082,2023-08-24,-0.028572,-0.214877,NA
-44.7779177256279,-20.9669931416991,323,2019-01-07,2021-05-26,87,0.8031,0.0435,2021-08-14,0.011175,0.01716,NA
-44.7779177256279,-20.9670829732275,323,2019-01-07,2021-05-26,87,0.7741,0.0442,2021-08-14,0.002985,-0.001497,NA
-44.7779177256279,-20.9671728047559,324,2019-01-07,2021-05-26,87,0.7276,0.0474,2021-08-14,0.007987,-0.001804,NA
-44.7779177256279,-20.9672626362843,323,2019-01-07,2021-05-26,86,0.7757,0.0451,2021-08-19,0.011052,-0.002391,NA
-44.7779177256279,-20.9673524678127,322,2019-01-07,2021-05-26,85,0.8187,0.0473,2021-08-29,-0.004281,-0.051443,NA
-44.7779177256279,-20.9674422993411,322,2019-01-07,2021-05-26,85,0.7,0.0807,2023-09-18,-0.022157,-0.103436,NA
-44.7779177256279,-20.9675321308695,322,2019-01-07,2021-05-26,87,0.6477,0.0966,2023-09-18,-0.032588,-0.113191,NA
-44.7779177256279,-20.967621962398,320,2019-01-07,2021-05-26,87,0.6389,0.0997,2023-09-18,-0.040581,-0.106561,NA
-44.7779177256279,-20.9677117939264,319,2019-01-07,2021-05-26,87,0.6644,0.0979,2023-04-21,0.081617,-0.115908,NA
-44.7779177256279,-20.9678016254548,320,2019-01-07,2021-05-26,87,0.7423,0.0847,2022-03-22,0.05457,-0.133555,NA
-44.7779177256279,-20.9678914569832,320,2019-01-07,2021-05-26,89,0.7639,0.08,2022-03-22,0.062058,-0.154791,NA
-44.7779177256279,-20.9679812885116,317,2019-01-07,2021-05-26,88,0.7811,0.077,2022-03-07,0.059004,-0.14132,NA
-44.7779177256279,-20.96807112004,317,2019-01-07,2021-05-26,88,0.7811,0.077,2022-03-07,0.059004,-0.14132,NA
-44.7779177256279,-20.9681609515684,317,2019-01-07,2021-05-26,88,0.7581,0.0814,2022-03-02,0.037936,-0.138631,NA
-44.7779177256279,-20.9682507830968,319,2019-01-07,2021-05-26,88,0.709,0.0887,2022-04-16,0.056375,-0.127643,NA
-44.7779177256279,-20.9683406146253,321,2019-01-07,2021-05-26,88,0.6808,0.091,2022-04-26,0.055145,-0.175317,NA
